File name,Path,Last modified,Created date,Last accessed,Size,Level,Inside files,Inside dirs,Created by
test,D:\CODE\Github\test,2022-12-10 01:22:05.624319,2022-12-10 01:11:50.121708,1970-01-01 04:00:00,0,4,1,0,rusab
JS camp,D:\CODE\JS camp,2022-11-10 23:34:24.081380,2022-11-10 22:37:14.202754,1970-01-01 04:00:00,0,3,8786,689,rusab
javaScriptStarterKit,D:\CODE\JS camp\javaScriptStarterKit,2022-11-10 23:38:19.950709,2022-11-10 23:34:24.081380,1970-01-01 05:08:16,4096,4,8786,688,rusab
.git,D:\CODE\JS camp\javaScriptStarterKit\.git,2022-11-12 01:56:50.258283,2022-11-10 23:34:24.081380,1970-01-01 05:08:16,4096,5,36,22,rusab
hooks,D:\CODE\JS camp\javaScriptStarterKit\.git\hooks,2022-11-10 23:34:24.097028,2022-11-10 23:34:24.081380,1970-01-01 05:08:16,4096,6,13,0,rusab
info,D:\CODE\JS camp\javaScriptStarterKit\.git\info,2022-11-10 23:34:24.097028,2022-11-10 23:34:24.097028,1970-01-01 04:00:00,0,6,1,0,rusab
logs,D:\CODE\JS camp\javaScriptStarterKit\.git\logs,2022-11-10 23:34:25.317470,2022-11-10 23:34:25.301860,1970-01-01 04:00:00,0,6,4,5,rusab
refs,D:\CODE\JS camp\javaScriptStarterKit\.git\logs\refs,2022-11-10 23:34:25.317470,2022-11-10 23:34:25.301860,1970-01-01 04:00:00,0,7,3,4,rusab
heads,D:\CODE\JS camp\javaScriptStarterKit\.git\logs\refs\heads,2022-11-10 23:34:25.317470,2022-11-10 23:34:25.317470,1970-01-01 04:00:00,0,8,1,0,rusab
remotes,D:\CODE\JS camp\javaScriptStarterKit\.git\logs\refs\remotes,2022-11-12 01:57:04.825354,2022-11-10 23:34:25.301860,1970-01-01 04:00:00,0,8,2,2,rusab
myjslessons,D:\CODE\JS camp\javaScriptStarterKit\.git\logs\refs\remotes\myjslessons,2022-11-12 01:57:04.916891,2022-11-12 01:57:04.825354,1970-01-01 04:00:00,0,9,1,0,rusab
origin,D:\CODE\JS camp\javaScriptStarterKit\.git\logs\refs\remotes\origin,2022-11-10 23:34:25.301860,2022-11-10 23:34:25.301860,1970-01-01 04:00:00,0,9,1,0,rusab
objects,D:\CODE\JS camp\javaScriptStarterKit\.git\objects,2022-11-12 01:56:54.379111,2022-11-10 23:34:24.097028,1970-01-01 05:08:16,4096,6,7,7,rusab
00,D:\CODE\JS camp\javaScriptStarterKit\.git\objects\00,2022-11-12 01:53:48.908240,2022-11-12 01:53:48.855367,1970-01-01 04:00:00,0,7,1,0,rusab
54,D:\CODE\JS camp\javaScriptStarterKit\.git\objects\54,2022-11-12 01:53:48.798796,2022-11-12 01:53:48.741569,1970-01-01 04:00:00,0,7,1,0,rusab
c0,D:\CODE\JS camp\javaScriptStarterKit\.git\objects\c0,2022-11-12 01:53:48.583335,2022-11-12 01:53:48.549206,1970-01-01 04:00:00,0,7,1,0,rusab
d0,D:\CODE\JS camp\javaScriptStarterKit\.git\objects\d0,2022-11-12 01:53:48.844931,2022-11-12 01:53:48.798796,1970-01-01 04:00:00,0,7,1,0,rusab
eb,D:\CODE\JS camp\javaScriptStarterKit\.git\objects\eb,2022-11-12 01:53:48.546185,2022-11-12 01:53:48.492555,1970-01-01 04:00:00,0,7,1,0,rusab
info,D:\CODE\JS camp\javaScriptStarterKit\.git\objects\info,2022-11-10 23:34:24.097028,2022-11-10 23:34:24.097028,1970-01-01 04:00:00,0,7,0,0,rusab
pack,D:\CODE\JS camp\javaScriptStarterKit\.git\objects\pack,2022-11-10 23:34:25.317470,2022-11-10 23:34:24.097028,1970-01-01 04:00:00,0,7,2,0,rusab
refs,D:\CODE\JS camp\javaScriptStarterKit\.git\refs,2022-11-10 23:34:25.301860,2022-11-10 23:34:24.097028,1970-01-01 04:00:00,0,6,3,5,rusab
heads,D:\CODE\JS camp\javaScriptStarterKit\.git\refs\heads,2022-11-12 01:53:48.908240,2022-11-10 23:34:24.097028,1970-01-01 04:00:00,0,7,1,0,rusab
remotes,D:\CODE\JS camp\javaScriptStarterKit\.git\refs\remotes,2022-11-12 01:57:04.818864,2022-11-10 23:34:25.301860,1970-01-01 04:00:00,0,7,2,2,rusab
myjslessons,D:\CODE\JS camp\javaScriptStarterKit\.git\refs\remotes\myjslessons,2022-11-12 01:57:04.925501,2022-11-12 01:57:04.818864,1970-01-01 04:00:00,0,8,1,0,rusab
origin,D:\CODE\JS camp\javaScriptStarterKit\.git\refs\remotes\origin,2022-11-10 23:34:25.301860,2022-11-10 23:34:25.301860,1970-01-01 04:00:00,0,8,1,0,rusab
tags,D:\CODE\JS camp\javaScriptStarterKit\.git\refs\tags,2022-11-10 23:34:24.097028,2022-11-10 23:34:24.097028,1970-01-01 04:00:00,0,7,0,0,rusab
.vscode,D:\CODE\JS camp\javaScriptStarterKit\.vscode,2022-11-10 23:34:25.317470,2022-11-10 23:34:25.317470,1970-01-01 04:00:00,0,5,1,0,rusab
node_modules,D:\CODE\JS camp\javaScriptStarterKit\node_modules,2022-11-10 23:38:31.691961,2022-11-10 23:38:19.950709,1970-01-01 15:22:40,40960,5,8732,656,rusab
